threshold,f1,mcc,precision,recall,positive_predictions
0.67,0.3574896601330696,0.3307655376615198,0.6307106598984772,0.249435382685069,1576
0.68,0.35039941902687,0.3268057878118405,0.6336178594878529,0.24215809284818068,1523
0.69,0.34146341463414637,0.3208540557161527,0.6341961852861036,0.23362609786700125,1468
0.7,0.3337037037037037,0.3163555856972031,0.6367491166077739,0.2260978670012547,1415
0.71,0.3255988023952096,0.31190487921998983,0.6401766004415012,0.21831869510664995,1359
0.72,0.3183194549583649,0.3091962587812999,0.6474210931485759,0.21104140526976162,1299
0.73,0.3090423502479969,0.3019595424436394,0.6443914081145584,0.20326223337515684,1257
0.74,0.30388013830195926,0.2995081258862215,0.6478296478296478,0.19849435382685068,1221
0.75,0.2989571263035921,0.2964587316865948,0.6487845766974015,0.19422835633626098,1193
0.76,0.2933747814260734,0.29296275216173223,0.6497418244406197,0.18946047678795483,1162
0.77,0.2888454011741683,0.29175801384682587,0.656,0.18519447929736513,1125
0.78,0.2835762111067349,0.2889845409490683,0.6587374199451053,0.1806775407779172,1093
0.79,0.2765324340408649,0.2845711709407344,0.6600378787878788,0.17490589711417817,1056
0.8,0.266906762705082,0.2775536213549361,0.6584402764067128,0.16737766624843162,1013
0.81,0.2629353734648681,0.27671469219032657,0.664969450101833,0.16386449184441657,982
0.82,0.2556818181818182,0.2726254227673331,0.6680805938494168,0.15809284818067754,943
0.83,0.24979591836734694,0.2687970573321707,0.6688524590163935,0.1535759096612296,915
0.84,0.24088943792464484,0.26321410576433496,0.6708715596330275,0.1468005018820577,872
0.85,0.2356595568440671,0.2604898190175418,0.6741706161137441,0.14278544542032623,844
0.86,0.2279749478079332,0.25623403559433894,0.6782608695652174,0.1370138017565872,805
0.87,0.21965074689669684,0.25077336952381574,0.6796875,0.13099121706398997,768
0.88,0.21550813437566027,0.2484070972964262,0.6818181818181818,0.12797992471769135,748
0.89,0.20920857203479737,0.24276088969977225,0.6771978021978022,0.12371392722710163,728
0.9,0.20371556694426649,0.24042978164314444,0.6833810888252149,0.11969887076537014,698
0.91,0.19378506689684938,0.23538119920189068,0.6918335901386748,0.11267252195734002,649
0.92,0.18648119973918714,0.2311613880755633,0.6964285714285714,0.10765370138017566,616
0.93,0.1805038335158817,0.23001955754189035,0.7103448275862069,0.10338770388958594,580
0.94,0.17126462149635843,0.22312733452655695,0.7106227106227107,0.0973651191969887,546
0.95,0.1588222172652242,0.21453342494125321,0.714859437751004,0.08933500627352572,498
